n,has_partitions,p,q,j,k
2393,True,2,2377,4,1
2393,True,2,2389,2,1
2399,True,2,2143,8,1
2399,True,2,2383,4,1
2411,True,2,2347,6,1
2417,True,2,7,4,4
2417,True,2,2161,8,1
2441,True,2,2437,2,1
2441,True,2,2377,6,1
2423,True,2,1399,10,1
2447,True,2,1423,10,1
2447,True,2,2383,6,1
2437,True,2,2309,7,1
2437,True,2,389,11,1
2459,True,2,2203,8,1
2473,True,2,2441,5,1
2503,False,,,,
2467,True,2,2339,7,1
2467,True,2,2459,3,1
2467,True,2,419,11,1
2477,True,2,1453,10,1
2477,True,2,2473,2,1
2477,True,2,2221,8,1
2521,True,2,2393,7,1
2531,True,2,2467,6,1
2539,True,2,491,11,1
2539,True,2,2411,7,1
2539,True,2,2531,3,1
2539,True,2,2027,9,1
2549,True,2,2293,8,1
2543,True,2,2539,2,1
2543,True,2,2287,8,1
2551,True,2,2423,7,1
2551,True,2,2549,1,1
2551,True,2,503,11,1
2551,True,2,2039,9,1
2551,True,2,2543,3,1
2557,True,2,509,11,1
2557,True,2,2549,3,1
2579,False,,,,
2591,True,2,1567,10,1
2593,True,2,2081,9,1
2593,True,2,2591,1,1
2617,True,2,569,11,1
2617,True,2,2609,3,1
2609,True,2,2593,4,1
2633,True,2,2377,8,1
2633,True,2,1609,10,1
2633,True,2,2617,4,1
2621,True,2,1597,10,1
2621,True,2,2617,2,1
2621,True,2,2557,6,1
2647,True,2,599,11,1
2657,True,2,2593,6,1
2657,True,2,7,8,4
2659,True,2,2657,1,1
2659,True,2,2531,7,1
2671,True,2,2663,3,1
2671,True,2,2543,7,1
2687,True,2,2671,4,1
2687,True,2,2683,2,1
2687,True,2,1663,10,1
2683,False,,,,
2677,True,2,2549,7,1
2663,True,2,2647,4,1
2663,True,2,2659,2,1
2693,True,2,2437,8,1
2693,True,2,2677,4,1
2693,True,2,2689,2,1
2693,True,2,1669,10,1
2689,True,2,2687,1,1
2689,True,2,641,11,1
2689,True,2,2657,5,1
2699,True,2,2683,4,1
2699,True,2,3,9,7
2707,True,2,2699,3,1
2707,True,2,2579,7,1
2707,True,2,659,11,1
2711,True,2,2647,6,1
2711,True,2,2707,2,1
2713,True,2,2711,1,1
2719,True,2,2591,7,1
2719,True,2,2711,3,1
2719,True,2,2207,9,1
2719,True,2,2687,5,1
2729,True,2,2713,4,1
2729,True,2,2473,8,1
2731,True,2,2729,1,1
2731,True,2,683,11,1
2731,True,2,2699,5,1
2741,True,2,2677,6,1
2753,True,2,2689,6,1
2753,True,2,2749,2,1
2767,True,2,719,11,1
2777,True,2,2713,6,1
2777,True,2,3,11,6
2777,True,2,1753,10,1
2777,True,2,2521,8,1
2789,False,,,,
2791,True,2,2789,1,1
2791,True,2,2663,7,1
2791,True,2,743,11,1
2801,True,2,1777,10,1
2801,True,2,2797,2,1
2797,True,2,2789,3,1
2749,True,2,2621,7,1
2749,True,2,701,11,1
2749,True,2,2237,9,1
2749,True,2,2741,3,1
2819,True,2,2803,4,1
2803,True,2,2801,1,1
2843,False,,,,
2851,True,2,2819,5,1
2851,True,2,2339,9,1
2851,True,2,2843,3,1
2837,True,2,2833,2,1
2833,True,2,2801,5,1
2857,True,2,809,11,1
2857,True,2,2729,7,1
2887,True,2,2879,3,1
2887,True,2,839,11,1
2861,True,2,2857,2,1
2861,True,2,2797,6,1
2879,False,,,,
2897,True,2,2833,6,1
2897,True,2,1873,10,1
2903,True,2,2887,4,1
2903,True,2,2647,8,1
2903,True,2,1879,10,1
2909,False,,,,
2927,True,2,2671,8,1
2917,True,2,2909,3,1
2917,True,2,2789,7,1
2953,True,2,2441,9,1
2939,True,2,2683,8,1
2957,True,2,1933,10,1
2957,True,2,2953,2,1
2999,False,,,,
2969,True,2,2953,4,1
2969,True,2,2713,8,1
2963,True,2,2707,8,1
2971,True,2,2459,9,1
2971,True,2,2843,7,1
2971,True,2,2963,3,1
2971,True,2,2969,1,1
2971,True,2,2939,5,1
3001,True,2,953,11,1
3001,True,2,2969,5,1
3001,True,2,2999,1,1
3011,True,2,1987,10,1
3019,True,2,3011,3,1
3019,True,2,971,11,1
3023,True,2,1999,10,1
3023,True,2,3019,2,1
3023,True,2,2767,8,1
3041,True,2,3037,2,1
3041,True,2,2017,10,1
3049,True,2,3041,3,1
3067,True,2,1019,11,1
3067,True,2,2939,7,1
3037,True,2,2909,7,1
3061,True,2,1013,11,1
3061,True,2,2549,9,1
3079,True,2,1031,11,1
3083,True,2,3079,2,1
3083,True,2,3019,6,1
3083,True,2,3067,4,1
3089,True,2,2833,8,1
3109,True,2,1061,11,1
3121,True,2,3089,5,1
3121,True,2,2609,9,1
3121,True,2,3119,1,1
3119,False,,,,
3137,True,2,3121,4,1
3137,True,2,2113,10,1
3167,True,2,3163,2,1
3167,True,2,2143,10,1
3163,False,,,,
3187,False,,,,
3181,False,,,,
3191,True,2,3187,2,1
3169,True,2,3041,7,1
3169,True,2,3137,5,1
3169,True,2,3167,1,1
3169,True,2,2657,9,1
3203,True,2,3187,4,1
3203,True,2,2179,10,1
3209,True,2,2953,8,1
3217,True,2,3209,3,1
3217,True,2,3089,7,1
3221,True,2,3217,2,1
3221,True,2,13,10,3
3229,True,2,1181,11,1
3229,True,2,3221,3,1
3253,True,2,3221,5,1
3253,True,2,5,7,5
3253,True,2,3251,1,1
3253,True,2,2741,9,1
3259,True,2,3257,1,1
3259,True,2,3251,3,1
3251,True,2,3187,6,1
3257,True,2,3001,8,1
3257,True,2,3253,2,1
3271,True,2,1223,11,1
3299,False,,,,
3301,True,2,2789,9,1
3301,True,2,3299,1,1
3319,True,2,3191,7,1
3313,True,2,2801,9,1
3307,True,2,3299,3,1
3307,True,2,1259,11,1
3329,True,2,3313,4,1
3331,True,2,1283,11,1
3331,True,2,2819,9,1
3331,True,2,3329,1,1
3331,True,2,3299,5,1
3331,True,2,3203,7,1
3331,True,2,3323,3,1
3323,True,2,3259,6,1
3323,True,2,3319,2,1
3323,True,2,3067,8,1
3323,True,2,3307,4,1
3343,False,,,,
3347,True,2,3343,2,1
3347,True,2,3331,4,1
3359,True,2,3343,4,1
3361,True,2,3329,5,1
3361,True,2,3359,1,1
3371,True,2,3307,6,1
3371,True,2,2347,10,1
3389,True,2,3373,4,1
3373,True,2,3371,1,1
3373,True,2,2861,9,1
3407,True,2,3391,4,1
3407,True,2,3343,6,1
3407,True,2,2383,10,1
3391,True,2,3389,1,1
3391,True,2,3359,5,1
3391,True,2,2879,9,1
3413,True,2,2389,10,1
3449,True,2,3433,4,1
3457,True,2,3449,3,1
3457,True,2,1409,11,1
3457,True,2,3329,7,1
3433,False,,,,
3461,True,2,2437,10,1
3461,True,2,3457,2,1
3463,True,2,3461,1,1
3467,True,2,3463,2,1
3469,True,2,3467,1,1
3469,True,2,2957,9,1
3469,True,2,3461,3,1
3491,True,2,2467,10,1
3499,True,2,3467,5,1
3499,True,2,3371,7,1
