n,has_partitions,p,q,j,k
1489,True,2.0,977.0,9.0,1.0
1489,True,2.0,1487.0,1.0,1.0
1493,True,2.0,1237.0,8.0,1.0
1493,True,2.0,1429.0,6.0,1.0
1493,True,2.0,1489.0,2.0,1.0
1499,True,2.0,1483.0,4.0,1.0
1511,True,2.0,1447.0,6.0,1.0
1511,True,2.0,487.0,10.0,1.0
1523,True,2.0,1459.0,6.0,1.0
1523,True,2.0,499.0,10.0,1.0
1531,True,2.0,1499.0,5.0,1.0
1531,True,2.0,1019.0,9.0,1.0
1531,True,2.0,1523.0,3.0,1.0
1543,True,2.0,1031.0,9.0,1.0
1543,True,2.0,1511.0,5.0,1.0
1549,False,,,,
1553,True,2.0,1297.0,8.0,1.0
1553,True,2.0,23.0,10.0,2.0
1553,True,2.0,1489.0,6.0,1.0
1553,True,2.0,1549.0,2.0,1.0
1559,True,2.0,1543.0,4.0,1.0
1559,True,2.0,1303.0,8.0,1.0
1567,True,2.0,1559.0,3.0,1.0
1567,True,2.0,1439.0,7.0,1.0
1571,True,2.0,547.0,10.0,1.0
1571,True,2.0,1567.0,2.0,1.0
1579,True,2.0,1451.0,7.0,1.0
1579,True,2.0,1571.0,3.0,1.0
1583,True,2.0,1327.0,8.0,1.0
1583,True,2.0,1579.0,2.0,1.0
1583,True,2.0,1567.0,4.0,1.0
1597,False,,,,
1601,True,2.0,1597.0,2.0,1.0
1601,True,2.0,577.0,10.0,1.0
1607,True,2.0,1543.0,6.0,1.0
1609,True,2.0,1097.0,9.0,1.0
1609,True,2.0,1481.0,7.0,1.0
1609,True,2.0,1607.0,1.0,1.0
1609,True,2.0,1601.0,3.0,1.0
1613,True,2.0,1597.0,4.0,1.0
1613,True,2.0,1609.0,2.0,1.0
1613,True,2.0,1549.0,6.0,1.0
1619,False,,,,
1621,True,2.0,1619.0,1.0,1.0
1621,True,2.0,1613.0,3.0,1.0
1621,True,2.0,1109.0,9.0,1.0
1621,True,2.0,1493.0,7.0,1.0
1627,True,2.0,1619.0,3.0,1.0
1627,True,2.0,1499.0,7.0,1.0
1637,True,2.0,613.0,10.0,1.0
1637,True,2.0,1381.0,8.0,1.0
1637,True,2.0,1621.0,4.0,1.0
1657,False,,,,
1663,True,2.0,1151.0,9.0,1.0
1667,True,2.0,1663.0,2.0,1.0
1667,True,2.0,643.0,10.0,1.0
1669,True,2.0,1637.0,5.0,1.0
1669,True,2.0,1667.0,1.0,1.0
1693,True,2.0,1181.0,9.0,1.0
1697,True,2.0,673.0,10.0,1.0
1697,True,2.0,1693.0,2.0,1.0
1697,True,2.0,41.0,4.0,2.0
1699,True,2.0,1667.0,5.0,1.0
1699,True,2.0,1187.0,9.0,1.0
1699,True,2.0,1571.0,7.0,1.0
1699,True,2.0,1697.0,1.0,1.0
1709,True,2.0,1453.0,8.0,1.0
1709,True,2.0,1693.0,4.0,1.0
1721,True,2.0,1657.0,6.0,1.0
1723,True,2.0,1721.0,1.0,1.0
1733,True,2.0,709.0,10.0,1.0
1733,True,2.0,1669.0,6.0,1.0
1741,True,2.0,1733.0,3.0,1.0
1741,True,2.0,1613.0,7.0,1.0
1741,True,2.0,1229.0,9.0,1.0
1741,True,2.0,1709.0,5.0,1.0
1747,True,2.0,1619.0,7.0,1.0
1753,True,2.0,1721.0,5.0,1.0
1753,True,2.0,3.0,10.0,6.0
1759,False,,,,
1777,False,,,,
1783,False,,,,
1787,True,2.0,1723.0,6.0,1.0
1787,True,2.0,1531.0,8.0,1.0
1787,True,2.0,1783.0,2.0,1.0
1789,True,2.0,1277.0,9.0,1.0
1789,True,2.0,1787.0,1.0,1.0
1801,True,2.0,1289.0,9.0,1.0
1811,True,2.0,1747.0,6.0,1.0
1811,True,2.0,787.0,10.0,1.0
1823,True,2.0,1567.0,8.0,1.0
1823,True,2.0,1759.0,6.0,1.0
1831,True,2.0,1319.0,9.0,1.0
1831,True,2.0,1823.0,3.0,1.0
1847,True,2.0,1831.0,4.0,1.0
1847,True,2.0,1783.0,6.0,1.0
1847,True,2.0,823.0,10.0,1.0
1861,True,2.0,1733.0,7.0,1.0
1867,False,,,,
1871,True,2.0,1867.0,2.0,1.0
1873,True,2.0,1871.0,1.0,1.0
1873,True,2.0,1361.0,9.0,1.0
1877,True,2.0,1861.0,4.0,1.0
1877,True,2.0,1621.0,8.0,1.0
1877,True,2.0,1873.0,2.0,1.0
1877,True,2.0,853.0,10.0,1.0
1879,True,2.0,1871.0,3.0,1.0
1879,True,2.0,1847.0,5.0,1.0
1879,True,2.0,1877.0,1.0,1.0
1879,True,2.0,1367.0,9.0,1.0
1889,True,2.0,1873.0,4.0,1.0
1901,True,2.0,877.0,10.0,1.0
1907,True,2.0,883.0,10.0,1.0
1913,True,2.0,43.0,6.0,2.0
1913,True,2.0,1657.0,8.0,1.0
1931,True,2.0,1867.0,6.0,1.0
1931,True,2.0,907.0,10.0,1.0
1933,True,2.0,1901.0,5.0,1.0
1933,True,2.0,1931.0,1.0,1.0
1949,True,2.0,1933.0,4.0,1.0
1949,True,2.0,1693.0,8.0,1.0
1951,True,2.0,1949.0,1.0,1.0
1951,True,2.0,1823.0,7.0,1.0
1951,True,2.0,1439.0,9.0,1.0
1973,False,,,,
1979,True,2.0,1723.0,8.0,1.0
1987,True,2.0,1979.0,3.0,1.0
1993,True,2.0,1481.0,9.0,1.0
1997,True,2.0,1741.0,8.0,1.0
1997,True,2.0,1993.0,2.0,1.0
1997,True,2.0,1933.0,6.0,1.0
1999,True,2.0,1997.0,1.0,1.0
1999,True,2.0,1871.0,7.0,1.0
1999,True,2.0,1487.0,9.0,1.0
2003,True,2.0,1747.0,8.0,1.0
2003,True,2.0,1987.0,4.0,1.0
2003,True,2.0,1999.0,2.0,1.0
2011,True,2.0,2003.0,3.0,1.0
2011,True,2.0,1499.0,9.0,1.0
2011,True,2.0,1979.0,5.0,1.0
2017,True,2.0,1889.0,7.0,1.0
2027,True,2.0,2011.0,4.0,1.0
2029,True,2.0,2027.0,1.0,1.0
2029,True,2.0,1997.0,5.0,1.0
2029,True,2.0,1901.0,7.0,1.0
2039,True,2.0,1783.0,8.0,1.0
2053,True,2.0,5.0,11.0,1.0
2063,True,2.0,1039.0,10.0,1.0
2063,True,2.0,1999.0,6.0,1.0
2069,True,2.0,2053.0,4.0,1.0
2081,True,2.0,2017.0,6.0,1.0
2083,True,2.0,2081.0,1.0,1.0
2083,True,2.0,1571.0,9.0,1.0
2087,True,2.0,1063.0,10.0,1.0
2087,True,2.0,2083.0,2.0,1.0
2087,True,2.0,1831.0,8.0,1.0
2089,True,2.0,41.0,11.0,1.0
2089,True,2.0,2087.0,1.0,1.0
2089,True,2.0,2081.0,3.0,1.0
2099,True,2.0,2083.0,4.0,1.0
2111,True,2.0,1087.0,10.0,1.0
2113,True,2.0,2081.0,5.0,1.0
2113,True,2.0,1601.0,9.0,1.0
2113,True,2.0,2111.0,1.0,1.0
2129,True,2.0,3.0,11.0,4.0
2129,True,2.0,1873.0,8.0,1.0
2129,True,2.0,2113.0,4.0,1.0
2131,True,2.0,1619.0,9.0,1.0
2131,True,2.0,2003.0,7.0,1.0
2131,True,2.0,2099.0,5.0,1.0
2131,True,2.0,2129.0,1.0,1.0
2131,True,2.0,83.0,11.0,1.0
2137,True,2.0,89.0,11.0,1.0
2137,True,2.0,2129.0,3.0,1.0
2141,True,2.0,2137.0,2.0,1.0
2141,True,2.0,1117.0,10.0,1.0
